Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
15552368,19433.59375,7264,-4.45370938074801,-12336,-7.56345800122624,-7568,4.64009809932557,990,-70.9146341463415,1163,-60.3658536585366,-771,47.0121951219512,-127,0.552173913043478,69,0.3,163,-0.795121951219512,
15553008,19453.125,7760,-4.75781729000613,-12576,-7.71060698957695,-7584,4.64990803188228,990,-70.9146341463415,1163,-60.3658536585366,-771,47.0121951219512,-130,0.565217391304348,72,0.31304347826087,158,-0.770731707317073,
15553648,19472.65625,8080,-4.9540159411404,-12800,-7.84794604537094,-7376,4.522378908645,1191,-71.5243902439024,1173,-72.6219512195122,-770,46.9512195121951,-127,0.552173913043478,68,0.295652173913043,161,-0.785365853658537,
15554288,19492.1875,7712,-4.72838749233599,-13152,-8.06376456161864,-7040,4.31637032495402,1191,-71.5243902439024,1173,-72.6219512195122,-770,46.9512195121951,-128,0.556521739130435,75,0.326086956521739,155,-0.75609756097561,
15554928,19511.71875,7696,-4.71857755977928,-13424,-8.23053341508277,-7136,4.3752299202943,1259,-69.5731707317073,1141,-76.7682926829268,-739,45.0609756097561,-130,0.565217391304348,73,0.317391304347826,154,-0.751219512195122,
15555568,19531.25,7808,-4.78724708767627,-13744,-8.42673206621704,-7456,4.57142857142857,1224,-61.9512195121951,1016,-74.6341463414634,-695,42.3780487804878,-129,0.560869565217391,78,0.339130434782609,151,-0.736585365853659,
15556208,19550.78125,7792,-4.77743715511956,-14144,-8.67198038013489,-7952,4.8755364806867,1224,-61.9512195121951,1016,-74.6341463414634,-695,42.3780487804878,-128,0.556521739130435,71,0.308695652173913,153,-0.746341463414634,
